pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,834.8445381104202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,834.9153661094072
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,834.9153661094072
